RECNO,Name,StaadName,D,B,T,AX,Rmin
1,L2x2x1/8,L20202,2.0,2.0,0.125,0.484,0.398
2,L2x2x3/16,L20203,2.0,2.0,0.188,0.717,0.394
3,L2x2x1/4,L20204,2.0,2.0,0.25,0.938,0.391
4,L2x2x5/16,L20205,2.0,2.0,0.313,1.154,0.39
5,L2x2x3/8,L20206,2.0,2.0,0.375,1.359,0.389
6,L2-1/2x2x3/16,L25203,2.5,2.0,0.188,0.811,0.427
7,L2-1/2x2-1/2x3/16,L25253,2.5,2.5,0.188,0.905,0.495
8,L2-1/2x2x1/4,L25204,2.5,2.0,0.25,1.063,0.424
9,L2-1/2x2-1/2x1/4,L25254,2.5,2.5,0.25,1.188,0.491
10,L2-1/2x2x5/16,L25205,2.5,2.0,0.313,1.311,0.422
11,L2-1/2x2-1/2x5/16,L25255,2.5,2.5,0.313,1.467,0.489
12,L2-1/2x2x3/8,L25206,2.5,2.0,0.375,1.547,0.42
13,L2-1/2x2-1/2x3/8,L25256,2.5,2.5,0.375,1.734,0.487
14,L2-1/2x2-1/2x1/2,L25258,2.5,2.5,0.5,2.25,0.487
15,L3x2x3/16,L30203,3.0,2.0,0.188,0.905,0.439
16,L3x2-1/2x3/16,L30253,3.0,2.5,0.188,0.999,0.533
17,L3x3x3/16,L30303,3.0,3.0,0.188,1.093,0.596
18,L3x2x1/4,L30204,3.0,2.0,0.25,1.188,0.435
19,L3x2-1/2x1/4,L30254,3.0,2.5,0.25,1.313,0.528
20,L3x3x1/4,L30304,3.0,3.0,0.25,1.438,0.592
21,L3x2x5/16,L30205,3.0,2.0,0.313,1.467,0.432
22,L3x2-1/2x5/16,L30255,3.0,2.5,0.313,1.624,0.525
23,L3x2x3/8,L30206,3.0,2.0,0.375,1.734,0.43
24,L3x3x5/16,L30305,3.0,3.0,0.313,1.78,0.589
25,L3x2-1/2x3/8,L30256,3.0,2.5,0.375,1.922,0.522
26,L3x2x7/16,L30207,3.0,2.0,0.438,1.998,0.429
27,L3x3x3/8,L30306,3.0,3.0,0.375,2.109,0.587
28,L3x2-1/2x7/16,L30257,3.0,2.5,0.438,2.217,0.521
29,L3x2x1/2,L30208,3.0,2.0,0.5,2.25,0.428
30,L3x3x7/16,L30307,3.0,3.0,0.438,2.436,0.585
31,L3x2-1/2x1/2,L30258,3.0,2.5,0.5,2.5,0.52
32,L3x3x1/2,L30308,3.0,3.0,0.5,2.75,0.584
33,L3-1/2x2-1/2x1/4,L35254,3.5,2.5,0.25,1.438,0.544
34,L3-1/2x31/4,L35304,3.5,3.0,0.25,1.563,0.631
35,L3-1/2x3-1/2x1/4,L35354,3.5,3.5,0.25,1.688,0.694
36,L3-1/2x2-1/2x5/16,L35255,3.5,2.5,0.313,1.78,0.54
37,L3-1/2x3x5/16,L35305,3.5,3.0,0.313,1.937,0.627
38,L3-1/2x3-1/2x5/16,L35355,3.5,3.5,0.313,2.093,0.69
39,L3-1/2x2-1/2x3/8,L35256,3.5,2.5,0.375,2.109,0.537
40,L3-1/2x3x3/8,L35306,3.5,3.0,0.375,2.297,0.625
41,L3-1/2x2-1/2x7/16,L35257,3.5,2.5,0.438,2.436,0.535
42,L3-1/2x3-1/2x3/8,L35356,3.5,3.5,0.375,2.484,0.687
43,L3-1/2x3x7/16,L35307,3.5,3.0,0.438,2.655,0.622
44,L3-1/2x2-1/2x1/2,L35258,3.5,2.5,0.5,2.75,0.534
45,L3-1/2x3-1/2x7,L35357,3.5,3.5,0.438,2.874,0.684
46,L3-1/2x3x1/2,L35308,3.5,3.0,0.5,3.0,0.621
47,L3-1/2x3-1/2x1/2,L35358,3.5,3.5,0.5,3.25,0.683
48,L4x3x1/4,L40304,4.0,3.0,0.25,1.688,0.651
