RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy
1,B923030,B923030,241.88,96.0,30.0,3.0,0.688,431105.7,549.75,7.64,13502.4,9762.0,1361.0
2,B923025,B923025,211.88,95.0,30.0,2.5,0.688,362703.2,322.25,8.19,11252.4,8330.0,1136.0
3,B923020,B923020,181.88,94.0,30.0,2.0,0.688,295725.7,169.75,9.0,9002.4,6912.0,911.0
4,B923017,B923017,166.88,93.5,30.0,1.75,0.688,262766.6,116.94,9.55,7877.4,6209.0,798.0
5,B923015,B923015,151.88,93.0,30.0,1.5,0.688,230158.2,77.25,10.23,6752.4,5510.0,686.0
6,B923012,B923012,136.88,92.5,30.0,1.25,0.688,197898.5,48.81,11.08,5627.4,4814.0,573.0
7,B923010,B923010,121.88,92.0,30.0,1.0,0.688,165985.7,29.75,12.18,4502.4,4122.0,461.0
8,B862830,B862830,220.5,90.0,28.0,3.0,0.625,348894.0,510.84,6.86,10977.7,8411.0,1184.0
9,B862825,B862825,192.5,89.0,28.0,2.5,0.625,292821.7,298.5,7.32,9148.4,7158.0,988.0
10,B862820,B862820,164.5,88.0,28.0,2.0,0.625,237995.3,156.17,8.02,7319.0,5919.0,792.0
11,B862817,B862817,150.5,87.5,28.0,1.75,0.625,211045.0,106.88,8.51,6404.4,5304.0,694.0
12,B862815,B862815,136.5,87.0,28.0,1.5,0.625,184401.0,69.84,9.12,5489.7,4694.0,596.0
13,B862812,B862812,122.5,86.5,28.0,1.25,0.625,158061.5,43.29,9.89,4575.0,4086.0,498.0
14,B862810,B862810,108.5,86.0,28.0,1.0,0.625,132024.7,25.5,10.9,3660.4,3483.0,400.0
15,B802630,B802630,204.75,84.0,26.0,3.0,0.625,280712.3,474.35,6.5,8789.6,7269.0,1022.0
16,B802625,B802625,178.75,83.0,26.0,2.5,0.625,235392.1,277.18,6.91,7324.9,6183.0,853.0
17,B802620,B802620,152.75,82.0,26.0,2.0,0.625,191150.9,145.01,7.54,5860.3,5111.0,684.0
18,B802617,B802617,139.75,81.5,26.0,1.75,0.625,169430.9,99.24,7.98,5127.9,4579.0,599.0
19,B802615,B802615,126.75,81.0,26.0,1.5,0.625,147975.8,64.85,8.54,4395.6,4051.0,515.0
20,B802612,B802612,113.75,80.5,26.0,1.25,0.625,126783.9,40.2,9.25,3663.3,3526.0,430.0
21,B802610,B802610,100.75,80.0,26.0,1.0,0.625,105853.6,23.68,10.18,2930.9,3005.0,346.0
22,B802608,B802608,94.25,79.75,26.0,0.875,0.625,95486.1,17.96,10.75,2564.8,2745.0,303.0
23,B742430,B742430,184.5,78.0,24.0,3.0,0.563,220104.0,436.27,5.78,6913.1,6129.0,870.0
24,B742425,B742425,160.5,77.0,24.0,2.5,0.563,184066.0,254.27,6.11,5761.1,5199.0,726.0
25,B742420,B742420,136.5,76.0,24.0,2.0,0.563,148952.0,132.27,6.64,4609.1,4281.0,582.0
26,B742417,B742417,124.5,75.5,24.0,1.75,0.563,131737.8,90.02,7.02,4033.1,3827.0,510.0
27,B742415,B742415,112.5,75.0,24.0,1.5,0.563,114750.0,58.27,7.5,3457.1,3375.0,438.0
28,B742412,B742412,100.5,74.5,24.0,1.25,0.563,97987.3,35.52,8.13,2881.1,2927.0,366.0
29,B742410,B742410,88.5,74.0,24.0,1.0,0.563,81448.0,20.27,8.97,2305.1,2481.0,294.0
30,B742408,B742408,82.5,73.75,24.0,0.875,0.563,73261.8,14.99,9.49,2017.1,2259.0,258.0
31,B682230,B682230,165.0,72.0,22.0,3.0,0.5,169191.0,398.75,5.1,5324.7,5099.0,730.0
32,B682225,B682225,143.0,71.0,22.0,2.5,0.5,141073.2,231.92,5.35,4437.4,4312.0,609.0
33,B682220,B682220,121.0,70.0,22.0,2.0,0.5,113736.3,120.08,5.77,3550.0,3537.0,488.0
34,B682217,B682217,110.0,69.5,22.0,1.75,0.5,100357.4,81.35,6.09,3106.4,3153.0,428.0
35,B682215,B682215,99.0,69.0,22.0,1.5,0.5,87169.5,52.25,6.5,2662.7,2772.0,367.0
36,B682212,B682212,88.0,68.5,22.0,1.25,0.5,74171.4,31.4,7.05,2219.0,2394.0,307.0
37,B682210,B682210,77.0,68.0,22.0,1.0,0.5,61361.7,17.42,7.79,1775.4,2019.0,246.0
38,B682208,B682208,71.5,67.75,22.0,0.875,0.5,55027.0,12.58,8.25,1553.5,1832.0,216.0
39,B682207,B682207,66.0,67.5,22.0,0.75,0.5,48738.9,8.94,8.81,1331.7,1646.0,186.0
40,B612025,B612025,126.25,65.0,20.0,2.5,0.438,105583.3,210.01,4.63,3333.8,3519.0,503.0
41,B612020,B612020,106.25,64.0,20.0,2.0,0.438,84781.7,108.34,4.96,2667.1,2874.0,403.0
42,B612017,B612017,96.25,63.5,20.0,1.75,0.438,74621.5,73.13,5.21,2333.8,2555.0,353.0
43,B612015,B612015,86.25,63.0,20.0,1.5,0.438,64620.0,46.67,5.55,2000.4,2239.0,303.0
44,B612012,B612012,76.25,62.5,20.0,1.25,0.438,54776.0,27.72,6.01,1667.1,1925.0,253.0
45,B612010,B612010,66.25,62.0,20.0,1.0,0.438,45088.3,15.01,6.65,1333.8,1614.0,203.0
46,B612008,B612008,61.25,61.75,20.0,0.875,0.438,40302.7,10.61,7.06,1167.1,1459.0,178.0
47,B612007,B612007,56.25,61.5,20.0,0.75,0.438,35555.6,7.3,7.55,1000.4,1305.0,153.0
48,B571825,B571825,114.5,61.0,18.0,2.5,0.438,83450.2,189.06,4.52,2430.4,2976.0,408.0
49,B571820,B571820,96.5,60.0,18.0,2.0,0.438,66978.7,97.56,4.81,1944.4,2431.0,327.0
50,B571817,B571817,87.5,59.5,18.0,1.75,0.438,58946.0,65.88,5.04,1701.4,2162.0,286.0
51,B571815,B571815,78.5,59.0,18.0,1.5,0.438,51047.2,42.06,5.36,1458.4,1896.0,246.0
52,B571812,B571812,69.5,58.5,18.0,1.25,0.438,43281.1,25.0,5.78,1215.4,1631.0,205.0
53,B571810,B571810,60.5,58.0,18.0,1.0,0.438,35646.7,13.56,6.38,972.4,1369.0,165.0
54,B571808,B571808,56.0,57.75,18.0,0.875,0.438,31878.5,9.6,6.76,850.9,1239.0,144.0
55,B571807,B571807,51.5,57.5,18.0,0.75,0.438,28142.7,6.63,7.22,729.4,1109.0,124.0
56,B571806,B571806,47.0,57.25,18.0,0.625,0.438,24439.3,4.49,7.78,607.9,980.0,104.0
57,B531822,B531822,100.5,56.5,18.0,2.25,0.375,64025.2,137.6,3.87,2187.2,2451.0,366.0
58,B531820,B531820,91.5,56.0,18.0,2.0,0.375,56906.0,96.91,3.98,1944.2,2198.0,326.0
59,B531817,B531817,82.5,55.5,18.0,1.75,0.375,49912.8,65.23,4.15,1701.2,1947.0,285.0
60,B531815,B531815,73.5,55.0,18.0,1.5,0.375,43044.5,41.41,4.4,1458.2,1698.0,245.0
61,B531812,B531812,64.5,54.5,18.0,1.25,0.375,36299.9,24.35,4.74,1215.2,1452.0,204.0
62,B531810,B531810,55.5,54.0,18.0,1.0,0.375,29678.0,12.91,5.24,972.2,1208.0,164.0
63,B531808,B531808,51.0,53.75,18.0,0.875,0.375,26412.7,8.95,5.58,850.7,1086.0,144.0
64,B531807,B531807,46.5,53.5,18.0,0.75,0.375,23177.6,5.98,5.98,729.2,966.0,123.0
65,B531806,B531806,42.0,53.25,18.0,0.625,0.375,19972.6,3.84,6.49,607.7,846.0,103.0
66,B491622,B491622,90.0,52.5,16.0,2.25,0.375,48937.5,122.34,3.75,1536.2,2025.0,290.0
67,B491620,B491620,82.0,52.0,16.0,2.0,0.375,43477.3,86.18,3.85,1365.5,1816.0,258.0
68,B491617,B491617,74.0,51.5,16.0,1.75,0.375,38121.2,58.01,4.01,1194.9,1609.0,226.0
69,B491615,B491615,66.0,51.0,16.0,1.5,0.375,32868.0,36.84,4.23,1024.2,1404.0,194.0
70,B491612,B491612,58.0,50.5,16.0,1.25,0.375,27716.8,21.68,4.54,853.5,1201.0,162.0
71,B491610,B491610,50.0,50.0,16.0,1.0,0.375,22666.7,11.51,5.0,682.9,1000.0,130.0
72,B491608,B491608,46.0,49.75,16.0,0.875,0.375,20179.1,7.99,5.3,597.5,900.0,114.0
73,B491607,B491607,42.0,49.5,16.0,0.75,0.375,17716.5,5.34,5.68,512.2,801.0,98.0
74,B491606,B491606,38.0,49.25,16.0,0.625,0.375,15278.6,3.45,6.14,426.9,702.0,82.0
75,B451617,B451617,69.75,47.5,16.0,1.75,0.313,31535.5,57.61,3.22,1194.8,1432.0,225.0
76,B451615,B451615,61.75,47.0,16.0,1.5,0.313,27070.3,36.45,3.37,1024.1,1243.0,193.0
77,B451612,B451612,53.75,46.5,16.0,1.25,0.313,22699.2,21.28,3.6,853.4,1056.0,161.0
78,B451610,B451610,45.75,46.0,16.0,1.0,0.313,18421.0,11.11,3.96,682.8,871.0,129.0
79,B451608,B451608,41.75,45.75,16.0,0.875,0.313,16316.5,7.59,4.21,597.4,780.0,113.0
80,B451607,B451607,37.75,45.5,16.0,0.75,0.313,14234.8,4.95,4.52,512.1,688.0,97.0
81,B451606,B451606,33.75,45.25,16.0,0.625,0.313,12175.9,3.05,4.93,426.8,598.0,81.0
