RECNO,Name,StaadName,TopRootBeam,BottomRootBeam,e,b,dt,dg,phi,ho,AvgWt,Anet,Agross,lxnet,lxgross,Sxnet,Sxgross,rxmin,ly,Sy,n,beffec,Actr,NAHt,ltr,leffec,Sxconc,Sxsteel
1,CCB12x10,CCB12x10,W8X10,W8X10,9.625,2.0,2.25,11.28,59.461,6.78,10.0,2.388,3.541,65.546,69.962,11.622,12.405,4.445,2.102,1.067,8.305,120.0,43.35,15.477,324.852,324.852,180.161,20.99
2,CCB12x13,CCB12x13,W8X13,W8X13,9.625,2.0,2.25,11.48,60.184,6.98,13.0,3.035,4.64,85.324,91.842,14.865,16.0,4.449,2.735,1.367,8.305,120.0,43.35,15.459,411.763,411.763,203.783,26.635
3,CCB12x15,CCB12x15,W8X15,W8X15,9.625,2.25,2.25,11.72,58.066,7.22,15.0,3.555,5.324,104.756,112.441,17.877,19.188,4.596,3.413,1.707,8.305,120.0,43.35,15.538,487.756,487.756,223.522,31.391
4,CCB12x18,CCB12x18,W8X18,W8X18,9.625,2.0,2.25,11.78,61.213,7.28,18.0,4.425,6.1,134.89,142.285,22.902,24.157,4.83,7.973,3.987,8.305,120.0,43.35,15.37,600.029,600.029,249.001,39.038
5,CCB12x21,CCB12x21,W8X21,W8X21,9.625,2.0,2.5,11.56,58.627,6.56,21.0,5.343,6.983,153.581,159.462,26.571,27.589,4.779,9.774,4.887,8.305,120.0,43.35,14.955,688.526,688.526,264.32,46.04
6,CCB12x24,CCB12x24,W8X24,W8X24,9.625,1.75,2.5,10.86,59.151,5.86,24.0,6.302,7.738,160.776,164.884,29.609,30.365,4.616,18.282,9.141,8.305,120.0,43.35,14.109,735.774,735.774,267.417,52.151
7,CCB12x28,CCB12x28,W8X28,W8X28,9.625,1.75,2.5,11.12,60.235,6.12,28.0,7.315,9.059,194.243,199.687,34.936,35.915,4.695,21.648,10.824,8.305,120.0,43.35,14.168,860.156,860.156,291.371,60.712
8,CCB12x31,CCB12x31,W8X31,W8X31,9.625,1.75,2.5,11.0,59.744,6.0,31.0,8.21,9.92,215.694,220.824,39.217,40.15,4.718,37.069,18.535,8.305,120.0,43.35,13.909,938.477,938.477,303.601,67.473
9,CCB12x35,CCB12x35,W8X35,W8X35,9.625,1.75,2.5,11.24,60.712,6.24,35.0,9.26,11.195,252.854,259.131,44.992,46.109,4.811,42.578,21.289,8.305,120.0,43.35,13.969,1066.913,1066.913,326.156,76.378
10,CCB12x40,CCB12x40,W8X40,W8X40,9.625,1.75,2.5,11.5,61.699,6.5,40.0,10.512,12.852,298.014,306.253,51.829,53.261,4.881,49.078,24.539,8.305,120.0,43.35,14.029,1219.98,1219.98,351.499,86.96
11,CCB15x12,CCB15x12,W10X12,W10X12,9.625,3.0,2.5,14.74,58.366,9.74,12.0,2.611,4.461,123.542,138.172,16.763,18.748,5.565,2.187,1.104,8.305,120.0,43.35,18.715,499.553,499.553,246.727,26.692
12,CCB15x12/15,CCB15x12/15,W10X12,W10X15,9.625,3.0,2.5,14.86,58.676,9.86,13.5,2.937,5.01,139.515,156.517,17.028,19.627,5.589,2.541,1.283,8.305,120.0,43.35,18.653,613.245,613.245,277.825,32.877
13,CCB15x12/17,CCB15x12/17,W10X12,W10X17,9.625,3.0,2.5,14.98,58.975,9.98,14.5,3.188,5.34,151.192,170.052,17.264,20.333,5.643,2.874,1.452,8.305,120.0,43.35,18.639,704.508,704.508,300.976,37.797
14,CCB15x15,CCB15x15,W10X15,W10X15,9.625,3.0,2.5,14.98,58.986,9.98,15.0,3.263,5.558,159.471,178.523,21.291,23.835,5.667,2.895,1.448,8.305,120.0,43.35,18.727,626.582,626.582,278.134,33.458
15,CCB15x12/19,CCB15x12/19,W10X12,W10X19,9.625,3.0,2.5,15.11,59.287,10.11,15.5,3.458,5.693,162.467,183.779,17.49,21.021,5.681,3.24,1.636,8.305,120.0,43.35,18.634,803.321,803.321,324.389,43.111
16,CCB15x15/17,CCB15x15/17,W10X15,W10X17,9.625,3.0,2.5,15.1,59.285,10.1,16.0,3.514,5.888,174.152,194.618,21.605,24.709,5.749,3.229,1.614,8.305,120.0,43.35,18.717,718.576,718.576,301.507,38.392
17,CCB15x17,CCB15x17,W10X17,W10X17,9.625,2.75,2.75,14.72,59.183,9.22,17.0,3.885,6.098,180.692,196.368,24.551,26.68,5.675,3.563,1.781,8.305,120.0,43.35,18.295,713.98,713.98,294.424,39.026
18,CCB15x15/19,CCB15x15/19,W10X15,W10X19,9.625,3.0,2.5,15.23,59.597,10.23,17.0,3.784,6.242,188.466,211.013,21.903,25.556,5.814,3.594,1.797,8.305,120.0,43.35,18.714,818.206,818.206,325.164,43.722
