RECNO,Name,StaadName,RootBeam,e,b,dt,dg,phi,ho,Anet,Agross,lxnet,lxgross,Sxnet,Sxgross,rxnet,rxgross,ly,Sy,ry,rT,deffec
1,CB12x10,CB12x10,W8X10,3.0,2.0,2.25,11.28,59.461,6.78,2.388,3.541,65.546,69.962,11.622,12.405,5.239,4.445,2.102,1.067,0.938,1,10.409
2,CB12x13,CB12x13,W8X13,3.0,2.0,2.25,11.48,60.184,6.98,3.035,4.64,85.324,91.842,14.865,16.0,5.302,4.449,2.735,1.367,0.949,1,10.535
3,CB12x15,CB12x15,W8X15,3.0,2.25,2.25,11.72,58.066,7.22,3.555,5.324,104.756,112.441,17.877,19.188,5.428,4.596,3.413,1.7,0.98,1,10.795
4,CB12x18,CB12x18,W8X18,3.25,2.0,2.5,11.28,57.505,6.28,4.54,5.985,124.231,128.978,22.027,22.868,5.231,4.642,7.974,3.038,1.325,1,10.392
5,CB12x21,CB12x21,W8X21,3.5,2.0,2.5,11.56,58.627,6.56,5.343,6.983,153.581,159.462,26.571,27.589,5.361,4.779,9.774,3.709,1.352,1,10.661
6,CB12x24,CB12x24,W8X24,3.5,1.75,2.5,10.86,59.151,5.86,6.302,7.738,160.776,164.884,29.609,30.365,5.051,4.616,18.282,5.63,1.703,2,10.045
7,CB12x28,CB12x28,W8X28,3.5,1.75,2.5,11.12,60.235,6.12,7.315,9.059,194.243,199.687,34.936,35.915,5.153,4.695,21.648,6.625,1.72,2,10.252
8,CB12x31,CB12x31,W8X31,3.5,1.75,2.5,11.0,59.744,6.0,8.21,9.92,215.694,220.824,39.217,40.15,5.126,4.718,37.069,9.273,2.125,2,10.201
9,CB12x35,CB12x35,W8X35,3.75,1.75,2.5,11.24,60.712,6.24,9.26,11.195,252.854,259.131,44.992,46.109,5.225,4.811,42.578,10.618,2.144,2,10.404
10,CB12x40,CB12x40,W8X40,4.0,1.75,2.5,11.5,61.699,6.5,10.512,12.852,298.014,306.253,51.829,53.261,5.324,4.881,49.078,12.163,2.161,2,10.603
11,CB15x12,CB15x12,W10X12,3.0,3.0,2.5,14.74,58.366,9.74,2.611,4.461,123.542,138.172,16.763,18.748,6.879,5.565,2.187,1.104,0.915,1,13.687
12,CB15x15,CB15x15,W10X15,3.0,3.0,2.5,14.98,58.986,9.98,3.263,5.558,159.471,178.523,21.291,23.835,6.991,5.667,2.895,1.448,0.942,1,13.915
13,CB15x17,CB15x17,W10X17,3.0,2.75,2.75,14.72,59.183,9.22,3.885,6.098,180.692,196.368,24.551,26.68,6.819,5.675,3.563,1.777,0.958,1,13.559
14,CB15x19,CB15x19,W10X19,3.0,2.5,3.0,14.48,59.475,8.48,4.556,6.676,201.849,214.553,27.88,29.634,6.656,5.669,4.294,2.136,0.971,1,13.218
15,CB15x22,CB15x22,W10X22,3.5,2.5,3.0,14.34,59.056,8.34,5.484,7.486,244.768,256.37,34.138,35.756,6.681,5.852,11.423,3.973,1.443,1,13.28
16,CB15x26,CB15x26,W10X26,3.5,2.5,3.0,14.66,59.999,8.66,6.486,8.738,302.985,317.056,41.335,43.255,6.835,6.024,14.105,4.889,1.475,2,13.597
17,CB15x30,CB15x30,W10X30,3.5,2.5,3.0,14.94,60.782,8.94,7.497,10.179,361.863,379.726,48.442,50.833,6.947,6.108,16.692,5.746,1.492,2,13.826
18,CB15x33,CB15x33,W10X33,4.0,2.25,3.0,13.46,58.901,7.46,8.49,10.654,335.017,345.05,49.78,51.27,6.282,5.691,36.587,9.193,2.076,2,12.494
19,CB15x39,CB15x39,W10X39,4.0,2.25,3.0,13.84,60.145,7.84,10.097,12.567,420.297,432.946,60.737,62.565,6.452,5.869,44.996,11.27,2.111,2,12.843
20,CB15x45,CB15x45,W10X45,4.5,2.25,3.0,14.2,61.243,8.2,11.688,14.558,509.4,525.482,71.746,74.011,6.602,6.008,53.332,13.3,2.136,2,13.147
21,CB18x14,CB18x14,W12X14,3.0,3.5,3.0,17.82,59.365,11.82,2.974,5.338,203.837,231.361,22.877,25.966,8.279,6.584,2.361,1.189,0.891,1,16.466
22,CB18x16,CB18x16,W12X16,3.0,3.25,3.25,17.48,59.375,10.98,3.505,5.921,227.161,251.43,25.991,28.768,8.05,6.516,2.821,1.414,0.897,1,15.988
23,CB18x19,CB18x19,W12X19,3.0,3.5,3.25,17.82,58.268,11.32,4.244,6.904,289.367,317.774,32.477,35.665,8.258,6.784,3.764,1.88,0.942,1,16.417
24,CB18x22,CB18x22,W12X22,3.0,3.5,3.25,18.12,58.935,11.62,4.972,7.993,351.472,385.467,38.794,42.546,8.408,6.944,4.655,2.31,0.968,1,16.726
25,CB18x26,CB18x26,W12X26,4.25,3.5,3.25,17.94,58.538,11.44,6.33,8.961,454.395,483.091,50.657,53.856,8.473,7.342,17.329,5.34,1.655,2,16.876
26,CB18x30,CB18x30,W12X30,4.25,3.5,3.25,18.18,59.065,11.68,7.276,10.313,534.861,569.385,58.841,62.639,8.574,7.43,20.344,6.241,1.672,2,17.081
27,CB18x35,CB18x35,W12X35,4.25,3.5,3.25,18.5,59.744,12.0,8.538,12.138,647.207,690.407,69.968,74.639,8.707,7.542,24.489,7.466,1.694,2,17.351
28,CB18x40,CB18x40,W12X40,4.25,3.25,3.25,17.38,59.145,10.88,9.936,13.146,667.335,698.997,76.793,80.437,8.195,7.292,44.051,11.006,2.106,2,16.332
29,CB18x45,CB18x45,W12X45,4.25,3.25,3.25,17.62,59.692,11.12,11.121,14.846,763.728,802.114,86.689,91.046,8.287,7.35,49.927,12.412,2.119,2,16.516
30,CB18x50,CB18x50,W12X50,4.25,3.25,3.25,17.88,60.266,11.38,12.351,16.562,869.676,915.117,97.279,102.362,8.391,7.433,56.301,13.936,2.135,2,16.727
31,CB21x22,CB21x22,W14X22,3.0,4.0,3.5,20.48,59.312,13.48,4.883,7.984,449.441,496.389,43.891,48.475,9.594,7.885,6.996,2.798,1.197,1,19.094
32,CB21x26,CB21x26,W14X26,3.25,4.0,3.5,20.82,59.935,13.82,5.869,9.393,560.223,616.313,53.816,59.204,9.77,8.1,8.901,3.543,1.232,1,19.456
33,CB21x30,CB21x30,W14X30,3.5,4.0,3.5,20.68,59.681,13.68,6.941,10.635,661.206,718.809,63.946,69.517,9.76,8.221,19.58,5.819,1.68,2,19.441
34,CB21x34,CB21x34,W14X34,3.75,4.0,3.5,20.96,60.184,13.96,7.951,11.929,779.766,844.379,74.405,80.57,9.903,8.413,23.293,6.907,1.712,2,19.735
35,CB21x38,CB21x38,W14X38,3.75,4.0,3.5,21.2,60.604,14.2,8.901,13.303,891.815,965.783,84.133,91.112,10.01,8.52,26.659,7.875,1.731,2,19.952
36,CB21x43,CB21x43,W14X43,4.5,4.0,3.5,20.32,59.011,13.32,10.364,14.426,958.552,1018.618,94.346,100.258,9.617,8.403,45.167,11.299,2.088,2,19.173
37,CB21x48,CB21x48,W14X48,4.25,4.0,3.5,20.58,59.498,13.58,11.608,16.226,1097.176,1168.134,106.626,113.521,9.722,8.485,51.376,12.796,2.104,2,19.385
38,CB21x53,CB21x53,W14X53,4.75,4.0,3.5,20.84,59.971,13.84,12.818,17.939,1238.392,1320.131,118.848,126.692,9.829,8.578,57.631,14.301,2.12,2,19.601
39,CB21x61,CB21x61,W14X61,4.5,4.0,3.5,20.78,59.863,13.78,15.112,20.28,1464.091,1545.862,140.913,148.784,9.843,8.731,107.375,21.486,2.666,3,19.635
40,CB24x26,CB24x26,W16X26,3.25,4.5,4.0,23.38,59.665,15.38,5.7,9.545,680.856,756.649,58.243,64.726,10.929,8.904,9.587,3.486,1.297,1,21.746
41,CB24x31,CB24x31,W16X31,3.5,4.5,4.0,23.76,60.271,15.76,6.897,11.231,855.867,945.573,72.043,79.594,11.139,9.176,12.391,4.485,1.34,1,22.178
42,CB24x36,CB24x36,W16X36,4.0,5.0,4.0,23.72,57.538,15.72,8.191,12.828,1022.845,1118.344,86.243,94.295,11.175,9.337,24.45,7.001,1.728,2,22.256
43,CB24x40,CB24x40,W16X40,4.5,5.0,4.0,24.02,58.027,16.02,9.274,14.16,1192.059,1296.556,99.255,107.956,11.337,9.569,28.834,8.244,1.763,2,22.59
44,CB24x45,CB24x45,W16X45,4.5,5.0,4.0,24.26,58.408,16.26,10.397,16.007,1358.422,1482.016,111.989,122.178,11.43,9.622,32.82,9.331,1.777,2,22.778
45,CB24x50,CB24x50,W16X50,4.5,5.0,4.0,24.52,58.812,16.52,11.547,17.824,1537.408,1680.176,125.4,137.045,11.539,9.709,37.148,10.509,1.794,2,22.998
46,CB24x57,CB24x57,W16X57,4.5,5.0,4.0,24.86,59.327,16.86,13.084,20.334,1783.998,1955.733,143.524,157.34,11.677,9.807,43.067,12.097,1.814,2,23.276
47,CB27x35,CB27x35,W18X35,3.75,5.5,4.25,26.9,59.128,18.4,7.472,12.992,1192.932,1348.669,88.694,100.273,12.635,10.189,15.328,5.109,1.432,1,25.164
48,CB27x40,CB27x40,W18X40,3.75,5.5,4.25,27.3,59.668,18.8,8.74,14.662,1445.644,1620.067,105.908,118.686,12.861,10.512,19.072,6.342,1.477,1,25.628
