RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Iy,Ct,Ix,Zx,Zy
1,C3X4.1,C3X4,1.21,3.0,1.41,0.273,0.17,1.7,0.2,0.44,0.0,1.3,0.4
2,C3X5,C3X5,1.47,3.0,1.498,0.273,0.258,1.9,0.25,0.44,0.0,1.5,0.5
3,C3X6,C3X6,1.76,3.0,1.596,0.273,0.356,2.1,0.31,0.46,0.1,1.7,0.5
4,C4X5.4,C4X5,1.59,4.0,1.584,0.296,0.184,3.8,0.32,0.46,0.0,2.3,0.6
5,C4X7.25,C4X7,2.13,4.0,1.721,0.296,0.321,4.6,0.43,0.46,0.1,2.8,0.7
6,C5X6.7,C5X6,1.97,5.0,1.75,0.32,0.19,7.5,0.48,0.48,0.1,3.5,0.8
7,C5X9,C5X9,2.64,5.0,1.885,0.32,0.325,8.9,0.63,0.48,0.1,4.4,0.9
8,C6X8.2,C6X8,2.4,6.0,1.92,0.343,0.2,13.1,0.69,0.51,0.1,5.1,1.0
9,C6X10.5,C6X10,3.09,6.0,2.034,0.343,0.314,15.2,0.87,0.5,0.1,6.2,1.2
10,C6X13,C6X13,3.83,6.0,2.157,0.343,0.437,17.4,1.05,0.51,0.2,7.3,1.4
11,C7X9.8,C7X9,2.87,7.0,2.09,0.366,0.21,21.3,0.97,0.54,0.1,7.1,1.3
12,C7X12.25,C7X12,3.6,7.0,2.194,0.366,0.314,24.2,1.17,0.53,0.2,8.4,1.4
13,C7X14,C7X14,4.33,7.0,2.299,0.366,0.419,27.2,1.38,0.53,0.3,9.7,1.6
14,C8X11.5,C8X11,3.38,8.0,2.26,0.39,0.22,32.6,1.32,0.57,0.1,9.6,1.6
15,C8X13.75,C8X13,4.04,8.0,2.343,0.39,0.303,36.1,1.53,0.55,0.2,10.9,1.7
16,C8X18.75,C8X18,5.51,8.0,2.527,0.39,0.487,44.0,1.98,0.57,0.4,13.8,2.2
17,C9X13.4,C9X13,3.94,9.0,2.433,0.413,0.233,47.9,1.76,0.6,0.2,12.5,2.0
18,C9X15,C9X15,4.41,9.0,2.485,0.413,0.285,51.0,1.93,0.59,0.2,13.5,2.0
19,C9X20,C9X20,5.88,9.0,2.648,0.413,0.448,60.9,2.42,0.58,0.4,16.8,2.5
20,C10X15.3,C10X15,4.49,10.0,2.6,0.436,0.24,67.4,2.28,0.63,0.2,15.8,2.4
21,C10X20,C10X20,5.88,10.0,2.739,0.436,0.379,78.9,2.81,0.61,0.4,19.3,2.7
22,C10X25,C10X25,7.35,10.0,2.886,0.436,0.526,91.2,3.36,0.62,0.7,23.0,3.2
23,C10X30,C10X30,8.82,10.0,3.033,0.436,0.673,103.0,3.94,0.65,1.2,26.6,3.8
24,C12X20.7,C12X20,6.09,12.0,2.942,0.501,0.282,129.0,3.88,0.7,0.4,25.4,3.5
25,C12X25,C12X25,7.35,12.0,3.047,0.501,0.387,144.0,4.47,0.67,0.5,29.2,3.8
26,C12X30,C12X30,8.82,12.0,3.17,0.501,0.51,162.0,5.14,0.67,0.9,33.6,4.3
27,C15X33.9,C15X33,9.96,15.0,3.4,0.65,0.4,315.0,8.13,0.79,1.0,50.4,6.2
28,C15X40,C15X40,11.8,15.0,3.52,0.65,0.52,349.0,9.23,0.78,1.5,57.2,6.9
29,C15X50,C15X50,14.7,15.0,3.716,0.65,0.716,404.0,11.0,0.8,2.7,68.2,8.2
