RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy,T,K,K1
1,HP8X36,HP8X36,10.6,8.02,8.155,0.445,0.445,119.0,0.77,0.83,40.3,33.6,15.2,5.77,1.125,0.875
2,HP10X42,HP10X42,12.4,9.7,10.075,0.42,0.415,210.0,0.81,0.94,71.7,48.3,21.8,7.45,1.125,0.8125
3,HP10X57,HP10X57,16.8,9.99,10.225,0.565,0.565,294.0,1.97,1.04,101.0,66.5,30.3,7.49,1.25,0.9375
4,HP12X53,HP12X53,15.5,11.78,12.045,0.435,0.435,393.0,1.12,1.14,127.0,74.0,32.2,9.55,1.125,0.875
5,HP12X63,HP12X63,18.4,11.94,12.125,0.515,0.515,472.0,1.6,1.18,153.0,88.3,38.7,9.4,1.25,0.875
6,HP12X74,HP12X74,21.8,12.13,12.215,0.61,0.605,569.0,2.98,1.24,186.0,105.0,46.6,9.475,1.3125,0.9375
7,HP12X84,HP12X84,24.6,12.28,12.295,0.685,0.685,650.0,3.8,1.29,213.0,120.0,53.2,9.55,1.375,1.0
8,HP13X60,HP13X60,17.5,12.54,12.9,0.46,0.46,503.0,1.21,1.2,165.0,89.0,39.0,10.25,1.125,0.875
9,HP13X73,HP13X73,21.6,12.75,13.005,0.565,0.565,630.0,2.26,1.27,207.0,110.0,48.8,10.25,1.25,0.9375
10,HP13X87,HP13X87,25.5,12.95,13.105,0.665,0.665,755.0,3.71,1.33,250.0,131.0,58.5,10.25,1.375,0.9375
11,HP13X100,HP13X10,29.4,13.15,13.205,0.765,0.765,886.0,5.68,1.39,294.0,153.0,68.6,10.25,1.4375,1.0
12,HP14X73,HP14X73,21.4,13.61,14.585,0.505,0.505,729.0,2.01,1.28,261.0,118.0,54.6,11.225,1.1875,0.875
13,HP14X89,HP14X89,26.1,13.83,14.695,0.615,0.615,904.0,3.6,1.34,326.0,146.0,67.7,11.175,1.3125,0.9375
14,HP14X102,HP14X102,30.0,14.01,14.785,0.705,0.705,1050.0,5.4,1.4,380.0,169.0,78.8,11.25,1.375,1.0
15,HP14X117,HP14X117,34.4,14.21,14.885,0.805,0.805,1220.0,8.02,1.46,443.0,194.0,91.4,11.2,1.5,1.0625
