RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zz,Zy,C
1,HSS20X12X.625,HSST20X12X0.625,35.0,20.0,12.0,0.581,1880.0,851.0,1890.0,230.0,162.0,257.0
2,HSS20X12X.500,HSST20X12X0.5,28.3,20.0,12.0,0.465,1550.0,705.0,1540.0,188.0,132.0,209.0
3,HSS20X12X.375,HSST20X12X0.375,21.5,20.0,12.0,0.349,1200.0,547.0,1180.0,144.0,102.0,160.0
4,HSS20X12X.3125,HSST20X12X0.313,18.1,20.0,12.0,0.291,1010.0,464.0,997.0,122.0,85.8,134.0
5,HSS20X8X.625,HSST20X8X0.625,30.3,20.0,8.0,0.581,1440.0,338.0,916.0,185.0,96.4,167.0
6,HSS20X8X.500,HSST20X8X0.5,24.6,20.0,8.0,0.465,1190.0,283.0,757.0,152.0,79.5,137.0
7,HSS20X8X.375,HSST20X8X0.375,18.7,20.0,8.0,0.349,926.0,222.0,586.0,117.0,61.5,105.0
8,HSS20X8X.3125,HSST20X8X0.313,15.7,20.0,8.0,0.291,786.0,189.0,496.0,98.6,52.0,88.3
9,HSS20X4X.500,HSST20X4X0.5,20.9,20.0,4.0,0.465,838.0,58.7,195.0,115.0,34.0,63.8
10,HSS20X4X.375,HSST20X4X0.375,16.0,20.0,4.0,0.349,657.0,47.6,156.0,89.3,26.8,49.9
11,HSS20X4X.3125,HSST20X4X0.313,13.4,20.0,4.0,0.291,560.0,41.2,134.0,75.6,22.9,42.4
12,HSS18X12X.625,HSST18X12X0.625,32.6,18.0,12.0,0.581,1450.0,776.0,1630.0,196.0,148.0,230.0
13,HSS18X12X.500,HSST18X12X0.5,26.5,18.0,12.0,0.465,1200.0,643.0,1330.0,161.0,122.0,188.0
14,HSS18X12X.375,HSST18X12X0.375,20.1,18.0,12.0,0.349,929.0,499.0,1020.0,123.0,93.6,143.0
15,HSS18X6X.625,HSST18X6X0.625,25.7,18.0,6.0,0.581,923.0,158.0,462.0,135.0,61.0,109.0
16,HSS18X6X.500,HSST18X6X0.5,20.9,18.0,6.0,0.465,770.0,134.0,387.0,112.0,50.7,89.9
17,HSS18X6X.375,HSST18X6X0.375,16.0,18.0,6.0,0.349,602.0,106.0,302.0,86.4,39.5,69.5
18,HSS18X6X.3125,HSST18X6X0.313,13.4,18.0,6.0,0.291,513.0,91.3,257.0,73.1,33.5,58.7
