RECNO,Name,StaadName,OD,Tw,AX,I,Z,C
1,HSS20X.500,HSSP20X0.5,20.0,0.465,28.5,1360.0,177.0,272.0
2,HSS20X.375,HSSP20X0.375,20.0,0.349,21.5,1040.0,135.0,208.0
3,HSS18X.500,HSSP18X0.5,18.0,0.465,25.6,985.0,143.0,219.0
4,HSS18X.375,HSSP18X0.375,18.0,0.349,19.4,754.0,109.0,168.0
5,HSS16X.500,HSSP16X0.5,16.0,0.465,22.7,685.0,112.0,171.0
6,HSS16X.438,HSSP16X0.438,16.0,0.407,19.9,606.0,99.0,152.0
7,HSS16X.375,HSSP16X0.375,16.0,0.349,17.2,526.0,85.5,131.0
8,HSS16X.312,HSSP16X0.312,16.0,0.291,14.4,443.0,71.8,111.0
9,HSS14X.500,HSSP14X0.5,14.0,0.465,19.8,453.0,85.2,130.0
10,HSS14X.375,HSSP14X0.375,14.0,0.349,15.0,349.0,65.1,99.7
11,HSS14X.312,HSSP14X0.312,14.0,0.291,12.5,295.0,54.7,84.2
12,HSS12-3/4X.500,HSSP12.75X0.5,12.75,0.465,17.9,339.0,70.2,106.0
13,HSS12-3/4X.375,HSSP12.75X0.375,12.75,0.349,13.6,262.0,53.7,82.1
14,HSS12-3/4X.250,HSSP12.75X0.25,12.75,0.233,9.16,180.0,36.5,56.3
15,HSS12-1/2X.625,HSSP12.5X0.625,12.5,0.581,21.8,387.0,82.6,124.0
16,HSS12-1/2X.500,HSSP12.5X0.5,12.5,0.465,17.6,319.0,67.4,102.0
17,HSS12-1/2X.375,HSSP12.5X0.375,12.5,0.349,13.3,246.0,51.5,78.7
18,HSS12-1/2X.312,HSSP12.5X0.312,12.5,0.291,11.2,208.0,43.4,66.6
19,HSS12-1/2X.250,HSSP12.5X0.25,12.5,0.233,8.98,169.0,35.1,54.1
20,HSS12-1/2X.188,HSSP12.5X0.188,12.5,0.174,6.74,128.0,26.4,41.0
21,HSS11-1/4X.625,HSSP11.25X0.625,11.25,0.581,19.5,278.0,66.2,98.8
22,HSS11-1/4X.500,HSSP11.25X0.5,11.25,0.465,15.8,229.0,54.1,81.6
23,HSS11-1/4X.375,HSSP11.25X0.375,11.25,0.349,12.0,178.0,41.5,63.2
24,HSS11-1/4X.312,HSSP11.25X0.312,11.25,0.291,10.0,151.0,35.0,53.5
25,HSS11-1/4X.250,HSSP11.25X0.25,11.25,0.233,8.06,122.0,28.3,43.5
26,HSS11-1/4X.188,HSSP11.25X0.188,11.25,0.174,6.05,92.9,21.3,33.0
27,HSS10-3/4X.500,HSSP10.75X0.5,10.75,0.465,15.0,199.0,49.2,74.1
28,HSS10-3/4X.250,HSSP10.75X0.25,10.75,0.233,7.7,106.0,25.8,39.6
29,HSS10X.625,HSSP10X0.625,10.0,0.581,17.2,191.0,51.6,76.6
30,HSS10X.500,HSSP10X0.5,10.0,0.465,13.9,159.0,42.3,63.5
31,HSS10X.375,HSSP10X0.375,10.0,0.349,10.6,123.0,32.5,49.3
32,HSS10X.312,HSSP10X0.312,10.0,0.291,8.88,105.0,27.4,41.9
33,HSS10X.250,HSSP10X0.25,10.0,0.233,7.15,85.3,22.2,34.1
34,HSS10X.188,HSSP10X0.188,10.0,0.174,5.37,64.8,16.8,25.9
35,HSS9-5/8X.500,HSSP9.625X0.5,9.625,0.465,13.4,141.0,39.0,58.5
36,HSS9-5/8X.375,HSSP9.625X0.375,9.625,0.349,10.2,110.0,30.0,45.5
37,HSS9-5/8X.312,HSSP9.625X0.312,9.625,0.291,8.53,93.0,25.4,38.7
38,HSS9-5/8X.250,HSSP9.625X0.25,9.625,0.233,6.87,75.9,20.6,31.5
39,HSS9-5/8X.188,HSSP9.625X0.188,9.625,0.174,5.17,57.7,15.5,24.0
40,HSS8-3/4X.500,HSSP8.75X0.5,8.75,0.465,12.1,104.0,32.0,47.6
41,HSS8-3/4X.375,HSSP8.75X0.375,8.75,0.349,9.21,81.4,24.6,37.2
42,HSS8-3/4X.312,HSSP8.75X0.312,8.75,0.291,7.73,69.3,20.8,31.7
43,HSS8-3/4X.250,HSSP8.75X0.25,8.75,0.233,6.23,56.6,16.9,25.9
44,HSS8-3/4X.188,HSSP8.75X0.188,8.75,0.174,4.69,43.1,12.8,19.7
45,HSS8-5/8X.500,HSSP8.625X0.5,8.625,0.465,11.9,99.5,31.0,46.2
46,HSS8-5/8X.375,HSSP8.625X0.375,8.625,0.349,9.07,77.8,23.9,36.1
47,HSS8-5/8X.322,HSSP8.625X0.322,8.625,0.3,7.85,68.1,20.8,31.6
48,HSS8-5/8X.250,HSSP8.625X0.25,8.625,0.233,6.14,54.1,16.4,25.1
49,HSS8-5/8X.188,HSSP8.625X0.188,8.625,0.174,4.62,41.3,12.4,19.1
50,HSS7-5/8X.125,HSSP7.625X0.125,7.625,0.116,2.74,19.3,6.54,10.1
51,HSS7-1/2X.500,HSSP7.5X0.5,7.5,0.465,10.3,63.9,23.0,34.1
52,HSS7-1/2X.375,HSSP7.5X0.375,7.5,0.349,7.84,50.2,17.9,26.8
53,HSS7-1/2X.312,HSSP7.5X0.312,7.5,0.291,6.59,42.9,15.1,22.9
54,HSS7-1/2X.250,HSSP7.5X0.25,7.5,0.233,5.32,35.2,12.3,18.7
55,HSS7-1/2X.188,HSSP7.5X0.188,7.5,0.174,4.0,26.9,9.34,14.3
56,HSS7X.500,HSSP7X0.5,7.0,0.465,9.55,51.2,19.9,29.3
57,HSS7X.375,HSSP7X0.375,7.0,0.349,7.29,40.4,15.5,23.1
58,HSS7X.312,HSSP7X0.312,7.0,0.291,6.13,34.6,13.1,19.8
59,HSS7X.250,HSSP7X0.25,7.0,0.233,4.95,28.4,10.7,16.2
60,HSS7X.188,HSSP7X0.188,7.0,0.174,3.73,21.7,8.11,12.4
61,HSS7X.125,HSSP7X0.125,7.0,0.116,2.51,14.9,5.5,8.49
62,HSS6-7/8X.500,HSSP6.875X0.5,6.875,0.465,9.36,48.3,19.1,28.1
63,HSS6-7/8X.375,HSSP6.875X0.375,6.875,0.349,7.16,38.2,14.9,22.2
64,HSS6-7/8X.312,HSSP6.875X0.312,6.875,0.291,6.02,32.7,12.6,19.0
65,HSS6-7/8X.250,HSSP6.875X0.25,6.875,0.233,4.86,26.8,10.3,15.6
66,HSS6-7/8X.188,HSSP6.875X0.188,6.875,0.174,3.66,20.6,7.81,12.0
67,HSS6-5/8X.500,HSSP6.625X0.5,6.625,0.465,9.0,42.9,17.7,25.9
68,HSS6-5/8X.432,HSSP6.625X0.432,6.625,0.403,7.88,38.3,15.6,23.1
69,HSS6-5/8X.375,HSSP6.625X0.375,6.625,0.349,6.88,34.0,13.8,20.5
70,HSS6-5/8X.312,HSSP6.625X0.312,6.625,0.291,5.79,29.1,11.7,17.6
71,HSS6-5/8X.280,HSSP6.625X0.28,6.625,0.261,5.22,36.5,10.6,16.0
72,HSS6-5/8X.250,HSSP6.625X0.25,6.625,0.233,4.68,23.9,9.52,14.4
73,HSS6-5/8X.188,HSSP6.625X0.188,6.625,0.174,3.53,18.4,7.24,11.1
74,HSS6-5/8X.125,HSSP6.625X0.125,6.625,0.116,2.37,12.6,4.92,7.59
75,HSS6-1/8X.500,HSSP6.125X0.5,6.125,0.465,8.27,33.3,14.9,21.8
76,HSS6-1/8X.375,HSSP6.125X0.375,6.125,0.349,6.33,26.5,11.7,17.3
77,HSS6-1/8X.312,HSSP6.125X0.312,6.125,0.291,5.33,22.7,9.91,14.9
78,HSS6-1/8X.250,HSSP6.125X0.25,6.125,0.233,4.31,18.7,8.09,12.2
79,HSS6-1/8X.188,HSSP6.125X0.188,6.125,0.174,3.25,14.4,6.16,9.41
80,HSS6X.500,HSSP6X0.5,6.0,0.465,8.09,31.2,14.3,20.8
81,HSS6X.375,HSSP6X0.375,6.0,0.349,6.2,24.8,11.2,16.6
82,HSS6X.312,HSSP6X0.312,6.0,0.291,5.22,21.3,9.49,14.2
83,HSS6X.280,HSSP6X0.28,6.0,0.261,4.71,19.4,8.6,12.9
84,HSS6X.250,HSSP6X0.25,6.0,0.233,4.22,17.6,7.75,11.7
85,HSS6X.188,HSSP6X0.188,6.0,0.174,3.18,13.5,5.91,9.02
86,HSS6X.125,HSSP6X0.125,6.0,0.116,2.14,9.28,4.02,6.19
87,HSS5-9/16X.375,HSSP5.563X0.375,5.563,0.349,5.72,19.5,9.5,14.0
88,HSS5-9/16X.258,HSSP5.563X0.258,5.563,0.241,4.03,14.3,6.83,10.3
89,HSS5-9/16X.188,HSSP5.563X0.188,5.563,0.174,2.95,10.7,5.05,7.7
90,HSS5-9/16X.134,HSSP5.563X0.134,5.563,0.125,2.14,7.9,3.7,5.68
91,HSS5-1/2X.500,HSSP5.5X0.5,5.5,0.465,7.36,23.5,11.8,17.1
92,HSS5-1/2X.375,HSSP5.5X0.375,5.5,0.349,5.65,18.8,9.27,13.7
93,HSS5-1/2X.258,HSSP5.5X0.258,5.5,0.241,3.98,13.8,6.67,10.0
94,HSS5X.500,HSSP5X0.5,5.0,0.465,6.62,17.2,9.6,13.8
95,HSS5X.375,HSSP5X0.375,5.0,0.349,5.1,13.9,7.56,11.1
96,HSS5X.312,HSSP5X0.312,5.0,0.291,4.3,12.0,6.46,9.58
