RECNO,Name,StaadName,OD,Tw,AX,I,Z,C
1,HSS20X.500,HSSP20X0.5,20.0,0.465,28.5,1360.0,177.0,272.0
2,HSS20X.375,HSSP20X0.375,20.0,0.349,21.5,1040.0,135.0,208.0
3,HSS18X.500,HSSP18X0.5,18.0,0.465,25.6,985.0,143.0,219.0
4,HSS18X.375,HSSP18X0.375,18.0,0.349,19.4,754.0,109.0,168.0
5,HSS16X.625,HSSP16X0.625,16.0,0.581,28.1,838.0,138.0,209.0
6,HSS16X.500,HSSP16X0.5,16.0,0.465,22.7,685.0,112.0,171.0
7,HSS16X.438,HSSP16X0.438,16.0,0.407,19.9,606.0,99.0,152.0
8,HSS16X.375,HSSP16X0.375,16.0,0.349,17.2,526.0,85.5,131.0
9,HSS16X.312,HSSP16X0.312,16.0,0.291,14.4,443.0,71.8,111.0
10,HSS16X.250,HSSP16X0.25,16.0,0.233,11.5,359.0,57.9,89.7
11,HSS14X.625,HSSP14X0.625,14.0,0.581,24.5,552.0,105.0,158.0
12,HSS14X.500,HSSP14X0.5,14.0,0.465,19.8,453.0,85.2,130.0
13,HSS14X.375,HSSP14X0.375,14.0,0.349,15.0,349.0,65.1,100.0
14,HSS14X.312,HSSP14X0.312,14.0,0.291,12.5,295.0,54.7,84.2
15,HSS14X.250,HSSP14X0.25,14.0,0.233,10.1,239.0,44.2,68.2
16,HSS12.75X.500,HSSP12.750X0.5,12.75,0.465,17.9,339.0,70.2,106.0
17,HSS12.75X.375,HSSP12.750X0.375,12.75,0.349,13.6,262.0,53.7,82.1
18,HSS12.75X.250,HSSP12.750X0.25,12.75,0.233,9.16,180.0,36.5,56.3
19,HSS10.75X.500,HSSP10.750X0.5,10.75,0.465,15.0,199.0,49.2,74.1
20,HSS10.75X.375,HSSP10.750X0.375,10.75,0.349,11.4,154.0,37.8,57.4
21,HSS10.75X.250,HSSP10.750X0.25,10.75,0.233,7.7,106.0,25.8,39.6
22,HSS10X.625,HSSP10X0.625,10.0,0.581,17.2,191.0,51.6,76.6
23,HSS10X.500,HSSP10X0.5,10.0,0.465,13.9,159.0,42.3,63.5
24,HSS10X.375,HSSP10X0.375,10.0,0.349,10.6,123.0,32.5,49.3
25,HSS10X.312,HSSP10X0.312,10.0,0.291,8.88,105.0,27.4,41.9
26,HSS10X.250,HSSP10X0.25,10.0,0.233,7.15,85.3,22.2,34.1
27,HSS10X.188,HSSP10X0.188,10.0,0.174,5.37,64.8,16.8,25.9
28,HSS9.625X.500,HSSP9.625X0.5,9.625,0.465,13.4,141.0,39.0,58.5
29,HSS9.625X.375,HSSP9.625X0.375,9.625,0.349,10.2,110.0,30.0,45.5
30,HSS9.625X.312,HSSP9.625X0.312,9.625,0.291,8.53,93.0,25.4,38.7
31,HSS9.625X.250,HSSP9.625X0.25,9.625,0.233,6.87,75.9,20.6,31.5
32,HSS9.625X.188,HSSP9.625X0.188,9.625,0.174,5.17,57.7,15.5,24.0
33,HSS8.625X.625,HSSP8.625X0.625,8.625,0.581,14.7,119.0,37.7,55.4
34,HSS8.625X.500,HSSP8.625X0.5,8.625,0.465,11.9,100.0,31.0,46.2
35,HSS8.625X.375,HSSP8.625X0.375,8.625,0.349,9.07,77.8,23.9,36.1
36,HSS8.625X.322,HSSP8.625X0.322,8.625,0.3,7.85,68.1,20.8,31.6
37,HSS8.625X.250,HSSP8.625X0.25,8.625,0.233,6.14,54.1,16.4,25.1
38,HSS8.625X.188,HSSP8.625X0.188,8.625,0.174,4.62,41.3,12.4,19.1
39,HSS7.625X.375,HSSP7.625X0.375,7.625,0.349,7.98,52.9,18.5,27.8
40,HSS7.625X.328,HSSP7.625X0.328,7.625,0.305,7.01,47.1,16.4,24.7
41,HSS7.500X.500,HSSP7.500X0.5,7.5,0.465,10.3,63.9,23.0,34.1
42,HSS7.500X.375,HSSP7.500X0.375,7.5,0.349,7.84,50.2,17.9,26.8
43,HSS7.500X.312,HSSP7.500X0.312,7.5,0.291,6.59,42.9,15.1,22.9
44,HSS7.500X.250,HSSP7.500X0.25,7.5,0.233,5.32,35.2,12.3,18.7
45,HSS7.500X.188,HSSP7.500X0.188,7.5,0.174,4.0,26.9,9.34,14.3
46,HSS7X.500,HSSP7X0.5,7.0,0.465,9.55,51.2,19.9,29.3
47,HSS7X.375,HSSP7X0.375,7.0,0.349,7.29,40.4,15.5,23.1
48,HSS7X.312,HSSP7X0.312,7.0,0.291,6.13,34.6,13.1,19.8
49,HSS7X.250,HSSP7X0.25,7.0,0.233,4.95,28.4,10.7,16.2
50,HSS7X.188,HSSP7X0.188,7.0,0.174,3.73,21.7,8.11,12.4
51,HSS7X.125,HSSP7X0.125,7.0,0.116,2.51,14.9,5.5,8.49
52,HSS6.875X.500,HSSP6.875X0.5,6.875,0.465,9.36,48.3,19.1,28.1
53,HSS6.875X.375,HSSP6.875X0.375,6.875,0.349,7.16,38.2,14.9,22.2
54,HSS6.875X.312,HSSP6.875X0.312,6.875,0.291,6.02,32.7,12.6,19.0
55,HSS6.875X.250,HSSP6.875X0.25,6.875,0.233,4.86,26.8,10.3,15.6
56,HSS6.875X.188,HSSP6.875X0.188,6.875,0.174,3.66,20.6,7.81,12.0
57,HSS6.625X.500,HSSP6.625X0.5,6.625,0.465,9.0,42.9,17.7,25.9
58,HSS6.625X.432,HSSP6.625X0.432,6.625,0.402,7.86,38.2,15.6,23.1
59,HSS6.625X.375,HSSP6.625X0.375,6.625,0.349,6.88,34.0,13.8,20.5
60,HSS6.625X.312,HSSP6.625X0.312,6.625,0.291,5.79,29.1,11.7,17.6
61,HSS6.625X.280,HSSP6.625X0.28,6.625,0.26,5.2,26.4,10.5,15.9
62,HSS6.625X.250,HSSP6.625X0.25,6.625,0.233,4.68,23.9,9.52,14.4
63,HSS6.625X.188,HSSP6.625X0.188,6.625,0.174,3.53,18.4,7.24,11.1
64,HSS6.625X.125,HSSP6.625X0.125,6.625,0.116,2.37,12.6,4.92,7.59
65,HSS6X.500,HSSP6X0.5,6.0,0.465,8.09,31.2,14.3,20.8
66,HSS6X.375,HSSP6X0.375,6.0,0.349,6.2,24.8,11.2,16.6
67,HSS6X.312,HSSP6X0.312,6.0,0.291,5.22,21.3,9.49,14.2
68,HSS6X.280,HSSP6X0.28,6.0,0.26,4.69,19.3,8.57,12.9
69,HSS6X.250,HSSP6X0.25,6.0,0.233,4.22,17.6,7.75,11.7
70,HSS6X.188,HSSP6X0.188,6.0,0.174,3.18,13.5,5.91,9.02
71,HSS6X.125,HSSP6X0.125,6.0,0.116,2.14,9.28,4.02,6.19
72,HSS5.563X.500,HSSP5.563X0.5,5.563,0.465,7.45,24.4,12.1,17.5
73,HSS5.563X.375,HSSP5.563X0.375,5.563,0.349,5.72,19.5,9.5,14.0
74,HSS5.563X.258,HSSP5.563X0.258,5.563,0.24,4.01,14.2,6.8,10.2
75,HSS5.563X.188,HSSP5.563X0.188,5.563,0.174,2.95,10.7,5.05,7.7
76,HSS5.563X.134,HSSP5.563X0.134,5.563,0.124,2.12,7.84,3.67,5.64
77,HSS5.500X.500,HSSP5.500X0.5,5.5,0.465,7.36,23.5,11.8,17.1
78,HSS5.500X.375,HSSP5.500X0.375,5.5,0.349,5.65,18.8,9.27,13.7
79,HSS5.500X.258,HSSP5.500X0.258,5.5,0.24,3.97,13.7,6.64,10.0
80,HSS5X.500,HSSP5X0.5,5.0,0.465,6.62,17.2,9.6,13.8
81,HSS5X.375,HSSP5X0.375,5.0,0.349,5.1,13.9,7.56,11.1
82,HSS5X.312,HSSP5X0.312,5.0,0.291,4.3,12.0,6.46,9.58
83,HSS5X.258,HSSP5X0.258,5.0,0.24,3.59,10.2,5.44,8.15
84,HSS5X.250,HSSP5X0.25,5.0,0.233,3.49,9.94,5.3,7.95
85,HSS5X.188,HSSP5X0.188,5.0,0.174,2.64,7.69,4.05,6.15
86,HSS5X.125,HSSP5X0.125,5.0,0.116,1.78,5.31,2.77,4.25
87,HSS4.500X.375,HSSP4.500X0.375,4.5,0.349,4.55,9.87,6.03,8.78
88,HSS4.500X.337,HSSP4.500X0.337,4.5,0.313,4.12,9.07,5.5,8.06
89,HSS4.500X.237,HSSP4.500X0.237,4.5,0.22,2.96,6.79,4.03,6.04
90,HSS4.500X.188,HSSP4.500X0.188,4.5,0.174,2.36,5.54,3.26,4.93
91,HSS4.500X.125,HSSP4.500X0.125,4.5,0.116,1.6,3.84,2.23,3.41
92,HSS4X.313,HSSP4X0.313,4.0,0.291,3.39,5.87,4.01,5.87
93,HSS4X.250,HSSP4X0.25,4.0,0.233,2.76,4.91,3.31,4.91
94,HSS4X.237,HSSP4X0.237,4.0,0.22,2.61,4.68,3.15,4.68
95,HSS4X.226,HSSP4X0.226,4.0,0.21,2.5,4.5,3.02,4.5
96,HSS4X.220,HSSP4X0.22,4.0,0.205,2.44,4.41,2.96,4.41
97,HSS4X.188,HSSP4X0.188,4.0,0.174,2.09,3.83,2.55,3.83
98,HSS4X.125,HSSP4X0.125,4.0,0.116,1.42,2.67,1.75,2.67
99,HSS3.500X.313,HSSP3.500X0.313,3.5,0.291,2.93,3.81,3.0,4.35
100,HSS3.500X.300,HSSP3.500X0.3,3.5,0.279,2.82,3.69,2.9,4.22
