RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Iy,Ct,Ix,Zx,Zy
1,MC6X12,MC6X12,3.53,6.0,2.497,0.375,0.31,18.7,1.87,0.7,0.2,7.4,1.8
2,MC6X15.1,MC6X151,4.44,6.0,2.941,0.475,0.316,25.0,3.51,0.94,0.3,9.7,3.0
3,MC6X15.3,MC6X153,4.5,6.0,3.5,0.385,0.34,25.4,4.97,1.05,0.2,9.8,3.3
4,MC6X16.3,MC6X16,4.79,6.0,3.0,0.475,0.375,26.0,3.82,0.93,0.3,10.2,3.2
5,MC6X18,MC6X18,5.29,6.0,3.504,0.475,0.379,29.7,5.93,1.12,0.4,11.5,4.1
6,MC7X19.1,MC7X19,5.61,7.0,3.452,0.5,0.352,43.2,6.11,1.08,0.4,14.3,4.3
7,MC7X17,MC7X17,5.17,7.0,3.0,0.475,0.375,37.6,4.01,0.87,0.3,12.7,3.3
8,MC7X22.7,MC7X22,6.67,7.0,3.603,0.5,0.503,47.5,7.29,1.04,0.6,16.2,4.9
9,MC8X8.5,MC8X8,2.5,8.0,1.874,0.311,0.179,23.3,0.63,0.43,0.1,6.9,0.9
10,MC8X18.7,MC8X18,5.5,8.0,2.978,0.5,0.353,52.5,4.2,0.85,0.4,15.4,3.4
11,MC8X20,MC8X20,5.88,8.0,3.025,0.5,0.4,54.5,4.47,0.84,0.4,16.2,3.6
12,MC8X21.4,MC8X21,6.28,8.0,3.45,0.525,0.375,61.6,6.64,1.02,0.5,18.0,4.7
13,MC8X22.8,MC8X22,6.7,8.0,3.502,0.525,0.427,63.8,7.07,1.01,0.6,18.8,4.9
14,MC9X23.9,MC9X23,7.02,9.0,3.45,0.55,0.4,85.0,7.22,0.98,0.6,22.2,5.1
15,MC9X25.5,MC9X25,7.47,9.0,3.5,0.55,0.45,88.0,7.65,0.97,0.7,23.2,5.2
16,MC10X6,MC10X6,1.91,10.0,1.127,0.202,0.152,22.1,0.11,0.18,0.0,5.7,0.3
17,MC10X8.4,MC10X8,2.46,10.0,1.5,0.28,0.17,32.0,0.33,0.28,0.0,7.9,0.6
18,MC10X22,MC10X22,6.45,10.0,3.315,0.575,0.29,103.0,6.5,0.99,0.5,23.6,4.9
19,MC10X25,MC10X25,7.35,10.0,3.405,0.575,0.38,110.0,7.35,0.95,0.6,25.8,5.2
20,MC10X28.5,MC10X28,8.37,10.0,3.95,0.575,0.425,127.0,11.4,1.12,0.8,29.6,6.8
21,MC10X33.6,MC10X33,9.87,10.0,4.1,0.575,0.575,139.0,13.2,1.08,1.2,33.4,7.5
22,MC10X41.1,MC10X41,12.1,10.0,4.321,0.575,0.796,158.0,15.8,1.09,2.3,38.9,8.7
23,MC12X10.6,MC12X10,3.1,12.0,1.5,0.309,0.19,55.4,0.38,0.27,0.1,11.6,0.6
24,MC12X31.8,MC12X31,9.12,12.0,3.67,0.7,0.37,203.0,11.3,1.08,1.0,39.3,7.4
25,MC12X35,MC12X35,10.3,12.0,3.767,0.7,0.467,216.0,12.7,1.05,1.3,42.8,7.9
26,MC12X40,MC12X40,11.8,12.0,3.89,0.7,0.59,234.0,14.3,1.04,1.7,47.3,8.6
27,MC12X45,MC12X45,13.2,12.0,4.012,0.7,0.712,252.0,15.8,1.04,2.3,51.7,9.4
28,MC12X50,MC12X50,14.7,12.0,4.135,0.7,0.835,269.0,17.4,1.05,3.2,56.1,10.2
29,MC13X31.8,MC13X31,9.35,13.0,4.0,0.61,0.375,239.0,11.4,1.0,0.9,43.1,7.6
30,MC13X35,MC13X35,10.3,13.0,4.072,0.61,0.447,252.0,12.3,0.98,1.1,46.2,8.0
31,MC13X40,MC13X40,11.8,13.0,4.185,0.61,0.56,273.0,13.7,0.96,1.6,50.9,8.6
32,MC13X50,MC13X50,14.7,13.0,4.412,0.61,0.787,314.0,16.5,0.97,3.0,60.5,10.1
33,MC18X42.7,MC18X42,12.6,18.0,3.95,0.625,0.45,554.0,14.4,0.88,1.2,74.4,8.1
34,MC18X45.8,MC18X45,13.5,18.0,4.0,0.625,0.5,578.0,15.1,0.87,1.5,78.4,8.4
35,MC18X51.9,MC18X51,15.3,18.0,4.1,0.625,0.6,627.0,16.4,0.86,2.0,86.5,9.1
36,MC18X58,MC18X58,17.1,18.0,4.2,0.625,0.7,676.0,17.8,0.86,2.8,94.6,9.9
