RECNO,Name,StaadName,OD,Tw,AX,I,Z
1,PIPE1/2SCH40,PIPS5,0.84,0.101,0.23,0.016,0.0555
2,PIPE3/4SCH40,PIPS7,1.05,0.105,0.31,0.035,0.0942
3,PIPE1SCH40,PIPS10,1.315,0.124,0.46,0.083,0.177
4,PIPE1-1/4SCH40,PIPS12,1.66,0.13,0.62,0.184,0.305
5,PIPE1-1/2SCH40,PIPS15,1.9,0.135,0.75,0.293,0.421
6,PIPE2SCH40,PIPS20,2.375,0.143,1.0,0.627,0.713
7,PIPE2-1/2SCH40,PIPS25,2.875,0.189,1.59,1.45,1.37
8,PIPE3SCH40,PIPS30,3.5,0.201,2.08,2.85,2.19
9,PIPE3-1/2SCH40,PIPS35,4.0,0.211,2.51,4.52,3.03
10,PIPE4SCH40,PIPS40,4.5,0.221,2.97,6.82,4.05
11,PIPE5SCH40,PIPS50,5.563,0.241,4.03,14.3,6.83
12,PIPE6SCH40,PIPS60,6.625,0.261,5.22,26.5,10.6
13,PIPE8SCH40,PIPS80,8.625,0.3,7.85,68.1,20.8
14,PIPE10SCH40,PIPS100,10.75,0.34,11.1,151.0,36.9
15,PIPE12STD,PIPS120,12.75,0.349,13.6,262.0,53.7
16,PIPE1/2SCH80,PIPX5,0.84,0.137,0.3,0.019,0.0686
17,PIPE3/4SCH80,PIPX7,1.05,0.143,0.41,0.043,0.119
18,PIPE1SCH80,PIPX10,1.315,0.166,0.6,0.101,0.221
19,PIPE1-1/4SCH80,PIPX12,1.66,0.178,0.83,0.231,0.393
20,PIPE1-1/2SCH80,PIPX15,1.9,0.186,1.0,0.372,0.549
21,PIPE2SCH80,PIPX20,2.375,0.204,1.39,0.827,0.964
22,PIPE2-1/2SCH80,PIPX25,2.875,0.257,2.11,1.83,1.77
23,PIPE3SCH80,PIPX30,3.5,0.28,2.83,3.7,2.91
24,PIPE3-1/2SCH80,PIPX35,4.0,0.296,3.44,5.94,4.07
25,PIPE4SCH80,PIPX40,4.5,0.315,4.14,9.12,5.53
26,PIPE5SCH80,PIPX50,5.563,0.349,5.72,19.5,9.5
27,PIPE6SCH80,PIPX60,6.625,0.403,7.88,38.3,15.6
28,PIPE8SCH80,PIPX80,8.625,0.465,11.9,100.0,31.0
29,PIPE10SCH60,PIPX100,10.75,0.465,15.0,199.0,49.2
30,PIPE12XS,PIPX120,12.75,0.465,17.9,339.0,70.2
31,PIPE2XXS,PIPD20,2.375,0.406,2.51,1.27,1.6
32,PIPE2-1/2XXS,PIPD25,2.875,0.514,3.81,2.78,2.91
33,PIPE3XXS,PIPD30,3.5,0.559,5.16,5.79,4.89
34,PIPE4XXS,PIPD40,4.5,0.628,7.64,14.7,9.5
35,PIPE5XXS,PIPD50,5.563,0.699,10.7,32.2,16.7
36,PIPE6XXS,PIPD60,6.625,0.805,14.7,63.5,27.4
37,PIPE8XXS,PIPD80,8.625,0.816,20.0,154.0,49.9
