RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy,T,k
1,S3X5,S3X5,1.67,3.0,2.33,0.26,0.17,2.5,0.04,0.33,0.5,2.0,0.7,1.75,0.625
2,S3X7,S3X7,2.21,3.0,2.509,0.26,0.349,2.9,0.09,0.43,0.6,2.4,0.8,1.75,0.625
3,S4X7,S4X7,2.26,4.0,2.663,0.293,0.193,6.1,0.07,0.45,0.8,3.5,1.0,2.5,0.75
4,S4X9,S4X9,2.79,4.0,2.796,0.293,0.326,6.8,0.12,0.55,0.9,4.0,1.1,2.5,0.75
5,S5X10,S5X10,2.94,5.0,3.004,0.326,0.214,12.3,0.11,0.57,1.2,5.7,1.4,3.5,0.75
6,S5X14,S5X14,4.34,5.0,3.284,0.326,0.494,15.2,0.32,0.79,1.7,7.4,1.9,3.5,0.75
7,S6X12,S6X12,3.67,6.0,3.332,0.359,0.232,22.1,0.17,0.69,1.8,8.5,1.9,4.375,0.8125
8,S6X17,S6X17,5.07,6.0,3.565,0.359,0.465,26.3,0.37,0.91,2.3,10.6,2.4,4.375,0.8125
9,S7X15,S7X15,4.5,7.0,3.662,0.392,0.252,36.7,0.24,0.82,2.6,12.1,2.4,5.125,0.9375
10,S7X20,S7X20,5.88,7.0,3.86,0.392,0.45,42.4,0.45,1.04,3.2,14.5,3.0,5.125,0.9375
11,S8X18,S8X18,5.41,8.0,4.001,0.426,0.271,57.6,0.34,0.94,3.7,16.5,3.2,6.0,1.0
12,S8X23,S8X23,6.77,8.0,4.171,0.426,0.441,64.9,0.55,1.15,4.3,19.3,3.7,6.0,1.0
13,S10X25,S10X25,7.46,10.0,4.661,0.491,0.311,124.0,0.6,1.2,6.8,28.4,5.0,7.75,1.125
14,S10X35,S10X35,10.3,10.0,4.944,0.491,0.594,147.0,1.29,1.56,8.4,35.4,6.2,7.75,1.125
15,S12X31,S12X31,9.35,12.0,5.0,0.544,0.35,218.0,0.9,1.51,9.4,42.0,6.4,9.625,1.1875
16,S12X35,S12X35,10.3,12.0,5.078,0.544,0.428,229.0,1.08,1.64,9.9,44.8,6.8,9.625,1.1875
17,S12X40,S12X40,12.0,12.0,5.252,0.659,0.462,272.0,1.76,1.58,13.6,53.1,8.9,9.125,1.4375
18,S12X50,S12X50,14.7,12.0,5.477,0.659,0.687,305.0,2.82,1.84,15.7,61.2,10.3,9.125,1.4375
19,S15X42,S15X42,12.6,15.0,5.501,0.622,0.411,447.0,1.54,2.01,14.4,69.3,9.0,12.25,1.375
20,S15X50,S15X50,14.7,15.0,5.64,0.622,0.55,486.0,2.12,2.25,15.7,77.1,10.0,12.25,1.375
21,S18X54,S18X54,16.1,18.0,6.001,0.691,0.461,804.0,2.37,2.5,20.8,105.0,12.1,15.0,1.5
22,S18X70,S18X70,20.6,18.0,6.251,0.691,0.711,926.0,4.15,2.94,24.1,125.0,14.4,15.0,1.5
23,S20X66,S20X66,19.4,20.0,6.255,0.795,0.505,1190.0,3.58,2.81,27.7,140.0,15.3,16.75,1.625
24,S20X75,S20X75,22.0,20.0,6.385,0.795,0.635,1280.0,4.59,3.07,29.8,153.0,16.7,16.75,1.625
25,S20X86,S20X86,25.3,20.3,7.06,0.92,0.66,1580.0,6.64,2.91,46.8,183.0,23.0,16.8,1.75
26,S20X96,S20X96,28.2,20.3,7.2,0.92,0.8,1670.0,8.39,3.13,50.2,198.0,24.9,16.8,1.75
27,S24X80,S24X80,23.5,24.0,7.0,0.87,0.5,2100.0,4.88,3.29,42.2,204.0,20.7,20.5,1.75
28,S24X90,S24X90,26.5,24.0,7.125,0.87,0.625,2250.0,6.04,3.6,44.9,222.0,22.3,20.5,1.75
29,S24X100,S24X100,29.3,24.0,7.245,0.87,0.745,2390.0,7.58,3.84,47.7,240.0,23.9,20.5,1.75
30,S24X106,S24X106,31.2,24.5,7.87,1.09,0.62,2940.0,10.1,3.28,77.1,279.0,33.2,20.5,2.0
31,S24X121,S24X121,35.6,24.5,8.05,1.09,0.8,3160.0,12.8,3.63,83.3,306.0,36.2,20.5,2.0
