RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zz,Zy
1,TUB20203,TUB20203,1.27,2.0,2.0,0.1875,0.7,0.7,1.2,0.84,0.84
2,TUB20204,TUB20204,1.59,2.0,2.0,0.25,0.8,0.8,1.4,1.0,1.0
3,TUB25253,TUB25253,1.64,2.5,2.5,0.1875,1.4,1.4,2.4,1.4,1.4
4,TUB25254,TUB25254,2.09,2.5,2.5,0.25,1.7,1.7,2.9,1.71,1.71
5,TUB30203,TUB30203,1.64,3.0,2.0,0.1875,1.9,1.0,2.2,1.57,1.18
6,TUB30204,TUB30204,2.09,3.0,2.0,0.25,2.2,1.2,2.6,1.92,1.44
7,TUB30303,TUB30303,2.02,3.0,3.0,0.1875,2.6,2.6,4.3,2.1,2.1
8,TUB30304,TUB30304,2.59,3.0,3.0,0.25,3.2,3.2,5.4,2.61,2.61
9,TUB30305,TUB30305,3.11,3.0,3.0,0.3125,3.6,3.6,6.2,3.03,3.03
10,TUB35353,TUB35353,2.39,3.5,3.5,0.1875,4.3,4.3,7.0,3.04,3.04
11,TUB35354,TUB35354,3.09,3.5,3.5,0.25,5.3,5.3,8.8,3.7,3.7
12,TUB35355,TUB35355,3.73,3.5,3.5,0.3125,6.1,6.1,10.4,4.35,4.35
13,TUB40203,TUB40203,2.02,4.0,2.0,0.1875,3.9,1.3,3.8,2.48,1.52
14,TUB40204,TUB40204,2.59,4.0,2.0,0.25,4.7,1.5,4.0,3.09,1.88
15,TUB40205,TUB40205,3.11,4.0,2.0,0.3125,5.3,1.7,4.6,3.6,2.17
16,TUB40303,TUB40303,2.39,4.0,3.0,0.1875,5.2,3.3,6.7,3.2,2.62
17,TUB40304,TUB40304,3.09,4.0,3.0,0.25,6.5,4.1,8.4,4.03,3.3
18,TUB40305,TUB40305,3.73,4.0,3.0,0.3125,7.5,4.7,9.9,4.75,3.88
19,TUB40403,TUB40403,2.77,4.0,4.0,0.1875,6.6,6.6,10.6,3.91,3.91
20,TUB40404,TUB40404,3.59,4.0,4.0,0.25,8.2,8.2,13.5,4.97,4.97
21,TUB40405,TUB40405,4.36,4.0,4.0,0.3125,9.6,9.6,16.1,5.9,5.9
22,TUB40406,TUB40406,5.08,4.0,4.0,0.375,10.7,10.7,18.4,6.72,6.72
23,TUB40408,TUB40408,6.36,4.0,4.0,0.5,12.3,12.3,21.8,8.02,8.02
24,TUB50203,TUB50203,2.39,5.0,2.0,0.1875,6.9,1.6,4.4,3.59,1.86
25,TUB50204,TUB50204,3.09,5.0,2.0,0.25,8.5,1.9,5.4,4.51,2.32
26,TUB50205,TUB50205,3.73,5.0,2.0,0.3125,9.7,2.2,6.2,5.31,2.7
27,TUB50303,TUB50303,2.77,5.0,3.0,0.1875,9.1,4.1,9.2,4.49,3.15
28,TUB50304,TUB50304,3.59,5.0,3.0,0.25,11.3,5.1,11.7,5.7,3.98
29,TUB50305,TUB50305,4.36,5.0,3.0,0.3125,13.2,5.9,13.8,6.77,4.72
30,TUB50306,TUB50306,5.08,5.0,3.0,0.375,14.7,6.5,15.6,7.71,5.35
31,TUB50308,TUB50308,6.36,5.0,3.0,0.5,16.9,7.3,18.2,9.2,6.34
32,TUB50403,TUB50403,3.14,5.0,4.0,0.1875,11.2,8.0,14.9,5.39,4.63
33,TUB50404,TUB50404,4.09,5.0,4.0,0.25,14.1,10.0,19.1,6.89,5.9
34,TUB50405,TUB50405,4.98,5.0,4.0,0.3125,16.6,11.7,22.9,8.24,7.05
35,TUB50406,TUB50406,5.83,5.0,4.0,0.375,18.7,13.2,26.3,9.44,8.09
36,TUB50503,TUB50503,3.52,5.0,5.0,0.1875,13.4,13.4,21.3,6.29,6.29
37,TUB50504,TUB50504,4.59,5.0,5.0,0.25,16.9,16.9,27.4,8.07,8.07
38,TUB50505,TUB50505,5.61,5.0,5.0,0.3125,20.1,20.1,33.1,9.7,9.7
39,TUB50506,TUB50506,6.58,5.0,5.0,0.375,22.8,22.8,38.2,11.2,11.2
40,TUB50508,TUB50508,8.36,5.0,5.0,0.5,27.0,27.0,46.8,13.7,13.7
41,TUB60203,TUB60203,2.77,6.0,2.0,0.1875,11.1,1.9,5.6,4.88,2.2
42,TUB60204,TUB60204,3.59,6.0,2.0,0.25,13.8,2.3,6.9,6.18,2.75
43,TUB60205,TUB60205,4.36,6.0,2.0,0.3125,16.0,2.6,7.9,7.33,3.22
44,TUB60206,TUB60206,5.08,6.0,2.0,0.375,17.8,2.8,8.7,8.33,3.61
45,TUB60303,TUB60303,3.14,6.0,3.0,0.1875,14.3,4.8,11.9,5.97,3.68
46,TUB60304,TUB60304,4.09,6.0,3.0,0.25,17.9,6.0,15.1,7.62,4.67
47,TUB60305,TUB60305,4.98,6.0,3.0,0.3125,21.1,7.0,17.9,9.11,5.56
48,TUB60306,TUB60306,5.83,6.0,3.0,0.375,23.8,7.8,20.3,10.4,6.34
49,TUB60403,TUB60403,3.52,6.0,4.0,0.1875,17.4,9.3,19.5,7.06,5.34
50,TUB60404,TUB60404,4.59,6.0,4.0,0.25,22.1,11.7,25.0,7.36,5.87
51,TUB60405,TUB60405,5.61,6.0,4.0,0.3125,26.2,13.8,30.1,10.9,8.21
52,TUB60406,TUB60406,6.58,6.0,4.0,0.375,29.7,15.6,34.6,12.5,9.44
53,TUB60408,TUB60408,8.36,6.0,4.0,0.5,35.3,18.4,42.1,15.4,11.5
54,TUB60603,TUB60603,4.27,6.0,6.0,0.1875,23.8,23.8,37.5,9.24,9.24
55,TUB60604,TUB60604,5.59,6.0,6.0,0.25,30.3,30.3,48.5,11.9,11.9
56,TUB60605,TUB60605,6.86,6.0,6.0,0.3125,36.3,36.3,58.9,14.4,14.4
57,TUB60606,TUB60606,8.08,6.0,6.0,0.375,41.6,41.6,68.5,16.8,16.8
58,TUB60608,TUB60608,10.4,6.0,6.0,0.5,50.5,50.5,85.6,20.9,20.9
59,TUB70303,TUB70303,3.52,7.0,3.0,0.1875,21.1,5.6,14.6,7.63,4.21
60,TUB70304,TUB70304,4.59,7.0,3.0,0.25,26.6,7.0,18.5,9.79,5.36
61,TUB70305,TUB70305,5.61,7.0,3.0,0.3125,31.5,8.1,22.0,11.8,6.4
62,TUB70306,TUB70306,6.58,7.0,3.0,0.375,35.7,9.1,25.1,13.5,7.32
63,TUB70403,TUB70403,3.89,7.0,4.0,0.1875,25.4,10.7,24.2,8.91,6.06
64,TUB70404,TUB70404,5.09,7.0,4.0,0.25,32.3,13.5,31.2,11.5,7.78
