RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy,T,K,K1
1,W4X13,W4X13,3.83,4.16,4.06,0.345,0.28,11.3,0.15,0.44,3.9,6.3,2.9,2.97,0.595,0.5
2,W5X16,W5X16,4.68,5.01,5.0,0.36,0.24,21.3,0.19,0.46,7.5,9.6,4.6,3.69,0.66,0.4375
3,W5X19,W5X19,5.54,5.15,5.03,0.43,0.27,26.2,0.31,0.49,9.1,11.6,5.5,3.69,0.73,0.4375
4,W6X8.5,W6X8.5,2.52,5.83,3.94,0.195,0.17,14.9,0.0333,0.63,1.99,5.73,1.56,4.94,0.445,0.5
5,W6X9,W6X9,2.68,5.9,3.94,0.215,0.17,16.4,0.04,0.62,2.2,6.2,1.7,4.97,0.465,0.5
6,W6X12,W6X12,3.55,6.03,4.0,0.28,0.23,22.1,0.09,0.68,3.0,8.3,2.3,4.97,0.53,0.5625
7,W6X15,W6X15,4.43,5.99,5.99,0.26,0.23,29.1,0.1,0.56,9.3,10.8,4.8,4.97,0.655,0.5625
8,W6X16,W6X16,4.74,6.28,4.03,0.405,0.26,32.1,0.22,0.68,4.4,11.7,3.4,4.872,0.559,0.5625
9,W6X20,W6X20,5.87,6.2,6.02,0.365,0.26,41.4,0.24,0.56,13.3,14.9,6.7,4.872,0.664,0.5625
10,W6X25,W6X25,7.34,6.38,6.08,0.455,0.32,53.4,0.46,0.61,17.1,18.9,8.6,4.872,0.754,0.5625
11,W8X10,W8X10,2.96,7.89,3.94,0.205,0.17,30.8,0.04,0.95,2.1,8.9,1.7,6.88,0.505,0.5
12,W8X13,W8X13,3.84,7.99,4.0,0.255,0.23,39.6,0.09,1.03,2.7,11.4,2.2,6.88,0.555,0.5625
13,W8X15,W8X15,4.44,8.11,4.015,0.315,0.245,48.0,0.14,1.0,3.4,13.6,2.7,6.88,0.615,0.5625
14,W8X18,W8X18,5.26,8.14,5.25,0.33,0.23,61.9,0.17,0.83,8.0,17.0,4.7,6.88,0.63,0.5625
15,W8X21,W8X21,6.16,8.28,5.27,0.4,0.25,75.3,0.28,0.83,9.8,20.4,5.7,6.88,0.7,0.5625
16,W8X24,W8X24,7.08,7.93,6.495,0.4,0.245,82.8,0.35,0.7,18.3,23.2,8.6,6.88,0.794,0.5625
17,W8X28,W8X28,8.25,8.06,6.535,0.465,0.285,98.0,0.54,0.73,21.7,27.2,10.1,6.342,0.794,0.5625
18,W8X31,W8X31,9.13,8.0,7.995,0.435,0.285,110.0,0.54,0.67,37.1,30.4,14.1,6.342,0.859,0.3125
19,W8X35,W8X35,10.3,8.12,8.02,0.495,0.31,127.0,0.77,0.69,42.6,34.7,16.1,6.342,0.829,0.75
20,W8X40,W8X40,11.7,8.25,8.07,0.56,0.36,146.0,1.12,0.74,49.1,39.8,18.5,6.342,0.889,0.8125
21,W8X48,W8X48,14.1,8.5,8.11,0.685,0.4,184.0,1.96,0.78,60.9,49.0,22.9,6.34,1.08,0.8125
22,W8X58,W8X58,17.1,8.75,8.22,0.81,0.51,228.0,3.34,0.87,75.1,59.8,27.9,6.35,1.2,0.875
23,W8X67,W8X67,19.7,9.0,8.28,0.935,0.57,272.0,5.06,0.94,88.6,70.2,32.7,6.34,1.33,0.9375
24,W10X12,W10X12,3.54,9.87,3.96,0.21,0.19,53.8,0.05,1.36,2.2,12.6,1.7,8.85,0.51,0.5625
25,W10X15,W10X15,4.41,9.99,4.0,0.27,0.23,68.9,0.1,1.37,2.9,16.0,2.3,8.85,0.57,0.5625
26,W10X17,W10X17,4.99,10.11,4.01,0.33,0.24,81.9,0.16,1.32,3.6,18.7,2.8,8.84,0.63,0.5625
27,W10X19,W10X19,5.62,10.24,4.02,0.395,0.25,96.3,0.23,1.28,4.3,21.6,3.4,8.81,0.695,0.625
28,W10X22,W10X22,6.49,10.17,5.75,0.36,0.24,118.0,0.24,1.07,11.4,26.0,6.1,8.88,0.66,0.625
29,W10X26,W10X26,7.61,10.33,5.77,0.44,0.26,144.0,0.4,1.06,14.1,31.3,7.5,8.82,0.74,0.6875
30,W10X30,W10X30,8.84,10.47,5.81,0.51,0.3,170.0,0.62,1.1,16.7,36.6,8.8,8.88,0.81,0.6875
31,W10X33,W10X33,9.71,9.73,7.96,0.435,0.29,170.0,0.58,0.87,36.6,38.8,14.0,7.86,0.935,0.75
32,W10X39,W10X39,11.5,9.92,7.985,0.53,0.315,209.0,0.98,0.88,45.0,46.8,17.2,7.86,1.03,0.8125
33,W10X45,W10X45,13.3,10.1,8.02,0.62,0.35,248.0,1.51,0.91,53.4,54.9,20.3,7.86,1.12,0.8125
34,W10X49,W10X49,14.4,9.98,10.0,0.56,0.34,272.0,1.39,0.81,93.4,60.4,28.3,7.86,1.06,0.8125
35,W10X54,W10X54,15.8,10.09,10.03,0.615,0.37,303.0,1.82,0.84,103.0,66.6,31.3,7.86,1.12,0.8125
36,W10X60,W10X60,17.6,10.22,10.08,0.68,0.42,341.0,2.48,0.88,116.0,74.6,35.0,7.84,1.18,0.8125
37,W10X68,W10X68,20.0,10.4,10.13,0.77,0.47,394.0,3.56,0.93,134.0,85.3,40.1,7.86,1.27,0.875
38,W10X77,W10X77,22.6,10.6,10.19,0.87,0.53,455.0,5.11,0.99,154.0,97.6,45.9,7.86,1.37,0.875
39,W10X88,W10X88,25.9,10.84,10.265,0.99,0.605,534.0,7.53,1.06,179.0,113.0,53.1,7.82,1.49,0.9375
40,W10X100,W10X100,29.4,11.1,10.34,1.12,0.68,623.0,10.9,1.13,207.0,130.0,61.0,7.86,1.62,1.0
41,W10X112,W10X112,32.9,11.36,10.415,1.25,0.755,716.0,15.1,1.21,236.0,147.0,69.2,7.9,1.75,1.0
42,W12X14,W12X14,4.16,11.91,3.97,0.225,0.2,88.6,0.07,1.76,2.4,17.4,1.9,10.85,0.525,0.5625
43,W12X16,W12X16,4.71,11.99,3.99,0.265,0.22,103.0,0.1,1.74,2.8,20.1,2.3,10.87,0.565,0.5625
44,W12X19,W12X19,5.57,12.16,4.005,0.35,0.235,130.0,0.18,1.65,3.8,24.7,3.0,10.9,0.65,0.5625
45,W12X22,W12X22,6.48,12.31,4.03,0.425,0.26,156.0,0.29,1.63,4.7,29.3,3.7,10.85,0.725,0.625
46,W12X26,W12X26,7.65,12.22,6.49,0.38,0.23,204.0,0.3,1.25,17.3,37.2,8.2,10.84,0.68,0.75
47,W12X30,W12X30,8.79,12.34,6.52,0.44,0.26,238.0,0.46,1.27,20.3,43.1,9.6,10.82,0.74,0.75
48,W12X35,W12X35,10.3,12.5,6.56,0.52,0.3,285.0,0.74,1.3,24.5,51.2,11.5,10.86,0.82,0.75
49,W12X40,W12X40,11.8,11.94,8.005,0.515,0.295,310.0,0.95,1.08,44.1,57.5,16.8,9.86,1.02,0.875
50,W12X45,W12X45,13.2,12.06,8.045,0.575,0.335,350.0,1.31,1.13,50.0,64.7,19.0,9.94,1.08,0.9375
51,W12X50,W12X50,14.7,12.19,8.08,0.64,0.37,394.0,1.78,1.17,56.3,72.4,21.4,9.92,1.14,0.9375
52,W12X53,W12X53,15.6,12.06,9.995,0.575,0.345,425.0,1.58,1.02,95.8,77.9,29.1,9.76,1.17,0.9375
53,W12X58,W12X58,17.0,12.19,10.01,0.64,0.36,475.0,2.1,1.03,107.0,86.4,32.5,9.72,1.24,0.9375
54,W12X65,W12X65,19.1,12.12,12.0,0.605,0.39,533.0,2.18,0.99,174.0,96.8,44.1,9.7,1.2,1.0
55,W12X72,W12X72,21.1,12.25,12.04,0.67,0.43,597.0,2.93,1.02,195.0,108.0,49.2,9.76,1.27,1.0625
56,W12X79,W12X79,23.2,12.38,12.08,0.735,0.47,662.0,3.84,1.06,216.0,119.0,54.3,9.74,1.33,1.0625
57,W12X87,W12X87,25.6,12.53,12.125,0.81,0.515,740.0,5.1,1.1,241.0,132.0,60.4,9.68,1.41,1.0625
58,W12X96,W12X96,28.2,12.71,12.16,0.9,0.55,833.0,6.86,1.13,270.0,147.0,67.5,9.7,1.5,1.125
59,W12X106,W12X106,31.2,12.89,12.22,0.99,0.61,933.0,9.13,1.19,301.0,164.0,75.1,9.72,1.59,1.125
60,W12X120,W12X120,35.3,13.12,12.32,1.105,0.71,1070.0,12.9,1.28,345.0,186.0,85.4,9.7,1.7,1.1875
61,W12X136,W12X136,39.9,13.41,12.4,1.25,0.79,1240.0,18.5,1.35,398.0,214.0,98.0,9.7,1.85,1.25
62,W12X152,W12X152,44.7,13.71,12.48,1.4,0.87,1430.0,25.8,1.43,454.0,243.0,111.0,9.7,2.0,1.25
63,W12X170,W12X170,50.0,14.03,12.57,1.56,0.96,1650.0,35.6,1.52,517.0,275.0,126.0,9.68,2.16,1.3125
64,W12X190,W12X190,55.8,14.38,12.67,1.735,1.06,1890.0,48.8,1.62,589.0,311.0,143.0,9.74,2.33,1.375
65,W12X210,W12X210,61.8,14.71,12.79,1.9,1.18,2140.0,64.7,1.72,664.0,348.0,159.0,9.7,2.5,1.4375
66,W12X230,W12X230,67.7,15.05,12.895,2.07,1.285,2420.0,83.8,1.82,742.0,386.0,177.0,9.76,2.67,1.5
67,W12X252,W12X252,74.1,15.41,13.005,2.25,1.395,2720.0,108.0,1.92,828.0,428.0,196.0,9.7,2.85,1.5
68,W12X279,W12X279,81.9,15.85,13.14,2.47,1.53,3110.0,143.0,2.05,937.0,481.0,220.0,9.76,3.07,1.625
69,W12X305,W12X305,89.6,16.32,13.235,2.705,1.625,3550.0,185.0,2.16,1050.0,537.0,244.0,9.7,3.3,1.625
70,W12X336,W12X336,98.8,16.82,13.385,2.955,1.775,4060.0,243.0,2.31,1190.0,603.0,274.0,9.7,3.55,1.6875
71,W14X22,W14X22,6.49,13.74,5.0,0.335,0.23,199.0,0.21,1.76,7.0,33.2,4.4,12.23,0.735,0.75
72,W14X26,W14X26,7.69,13.91,5.025,0.42,0.255,245.0,0.36,1.72,8.9,40.2,5.5,12.26,0.82,0.75
73,W14X30,W14X30,8.85,13.84,6.73,0.385,0.27,291.0,0.38,1.58,19.6,47.3,9.0,12.23,0.785,0.75
74,W14X34,W14X34,10.0,13.98,6.745,0.455,0.285,340.0,0.57,1.53,23.3,54.6,10.6,12.29,0.855,0.75
75,W14X38,W14X38,11.2,14.1,6.77,0.515,0.31,385.0,0.8,1.54,26.7,61.5,12.1,12.27,0.915,0.8125
76,W14X43,W14X43,12.6,13.66,7.995,0.53,0.305,428.0,1.05,1.31,45.2,69.6,17.3,11.46,1.12,1.0
77,W14X48,W14X48,14.1,13.79,8.03,0.595,0.34,485.0,1.46,1.35,51.4,78.4,19.6,14.42,1.19,1.0
78,W14X53,W14X53,15.6,13.92,8.06,0.66,0.37,541.0,1.94,1.38,57.7,87.1,22.0,14.4,1.25,1.0
